Energy	Sweep0	Sweep1	Sweep2	Sweep3	Sum
2264.40039062	3201.62646484	3338.22827148	3245.18359375	3220.39697266	13005.4353027	
2264.45019531	3188.31079102	3227.01489258	3299.02172852	3186.36132812	12900.7087402	
2264.50024414	3126.4519043	3296.58227539	3234.05273438	3243.87719727	12900.9641113	
2264.55029297	3128.74267578	3268.23071289	3235.37353516	3236.1184082	12868.465332	
2264.6003418	3280.44189453	3229.69555664	3183.61352539	3289.12695312	12982.8779297	
2264.65039062	3141.63256836	3325.09667969	3194.03710938	3319.22387695	12979.9902344	
2264.70019531	3220.82592773	3319.29467773	3286.74462891	3226.97753906	13053.8427734	
2264.75024414	3252.39672852	3317.4152832	3213.78564453	3276.12597656	13059.7236328	
2264.80029297	3272.92626953	3366.9765625	3243.83422852	3298.58227539	13182.3193359	
2264.8503418	3336.74902344	3329.77783203	3403.76782227	3268.92700195	13339.2216797	
2264.90039062	3397.75268555	3356.47436523	3298.74536133	3264.40820312	13317.3806152	
2264.95019531	3429.92431641	3456.50610352	3422.11645508	3357.25976562	13665.8066406	
2265.00024414	3447.85766602	3412.97802734	3345.91870117	3510.57861328	13717.3330078	
2265.05029297	3440.07299805	3482.36010742	3539.50585938	3484.48510742	13946.4240723	
2265.1003418	3452.30639648	3422.68701172	3554.9934082	3521.77050781	13951.7573242	
2265.15039062	3418.09326172	3467.15649414	3472.55859375	3556.08227539	13913.890625	
2265.20019531	3531.70898438	3432.33569336	3497.29272461	3528.51147461	13989.848877	
2265.25024414	3575.21044922	3507.28881836	3605.4074707	3717.95996094	14405.8666992	
2265.30029297	3653.31835938	3618.70556641	3598.36425781	3672.6003418	14542.9885254	
2265.3503418	3669.23291016	3589.85742188	3668.49755859	3650.71191406	14578.2998047	
2265.40039062	3712.07470703	3714.37231445	3696.36083984	3645.265625	14768.0734863	
2265.45019531	3801.49487305	3736.41650391	3727.5300293	3707.23535156	14972.6767578	
2265.50024414	3849.16918945	3788.45068359	3765.90869141	3787.90087891	15191.4294434	
2265.55029297	3856.1574707	3848.94482422	3954.74023438	3814.93359375	15474.776123	
2265.6003418	3978.61767578	3928.11523438	3957.84960938	3679.9675293	15544.5500488	
2265.65039062	3964.84472656	3970.703125	3903.82470703	3955.8972168	15795.2697754	
2265.70019531	3982.85375977	4025.61816406	3970.14404297	3949.8293457	15928.4453125	
2265.75024414	4044.47607422	4075.33984375	4045.29125977	3998.49707031	16163.604248	
2265.80029297	4143.19335938	4141.12939453	4111.54736328	4038.10791016	16433.9780273	
