Energy	Sweep0	Sweep1	Sum
1206.05004883	4673.67089844	4622.76269531	9296.43359375	
1206.10009766	4773.28564453	4735.27099609	9508.55664062	
1206.15002441	4766.85253906	4735.24804688	9502.10058594	
1206.20007324	4608.53808594	4575.84814453	9184.38623047	
1206.25	4650.68164062	4621.69482422	9272.37646484	
1206.30004883	4656.29541016	4693.51708984	9349.8125	
1206.35009766	4711.34033203	4770.14160156	9481.48193359	
1206.40002441	4651.20068359	4812.703125	9463.90380859	
1206.45007324	4711.59130859	4728.40820312	9439.99951172	
1206.5	4714.52832031	4751.40136719	9465.9296875	
1206.55004883	4576.85839844	4805.10546875	9381.96386719	
1206.60009766	4726.79394531	4613.13525391	9339.92919922	
1206.65002441	4713.67285156	4772.75732422	9486.43017578	
1206.70007324	4676.23095703	4820.34912109	9496.58007812	
1206.75	4729.73242188	4748.82666016	9478.55908203	
1206.80004883	4684.74853516	4827.0703125	9511.81884766	
1206.85009766	4733.46386719	4748.96337891	9482.42724609	
1206.90002441	4630.89355469	4804.98681641	9435.88037109	
1206.95007324	4764.78515625	4807.03564453	9571.82080078	
1207.0	4771.37597656	4844.06054688	9615.43652344	
1207.05004883	4780.68652344	4859.99169922	9640.67822266	
1207.10009766	4798.10449219	4875.89599609	9674.00048828	
1207.15002441	4686.09619141	4798.77929688	9484.87548828	
1207.20007324	4726.59667969	4742.31982422	9468.91650391	
1207.25	4754.15332031	4851.1640625	9605.31738281	
1207.30004883	4739.20800781	4871.49072266	9610.69873047	
1207.35009766	4831.86132812	4861.91601562	9693.77734375	
1207.40002441	4778.57324219	4836.47753906	9615.05078125	
1207.45007324	4853.81445312	4806.33398438	9660.1484375	
1207.5	4854.05615234	4868.09912109	9722.15527344	
1207.55004883	4866.14013672	4869.75830078	9735.8984375	
1207.60009766	4783.73974609	4822.50976562	9606.24951172	
1207.65002441	4788.70556641	4905.98046875	9694.68603516	
1207.70007324	4773.01123047	4897.65185547	9670.66308594	
1207.75	4871.08300781	4883.79345703	9754.87646484	
1207.80004883	4923.26855469	4827.52001953	9750.78857422	
1207.85009766	4888.68115234	4957.77929688	9846.46044922	
1207.90002441	4899.62939453	4906.68847656	9806.31787109	
1207.95007324	4958.23974609	4788.92480469	9747.16455078	
1208.0	4982.07568359	4790.58203125	9772.65771484	
1208.05004883	4982.47753906	4837.46679688	9819.94433594	
1208.10009766	4917.99072266	4802.68896484	9720.6796875	
1208.15002441	5089.70898438	4965.0390625	10054.7480469	
1208.20007324	4970.93310547	4914.11914062	9885.05224609	
1208.25	4898.96728516	4937.35449219	9836.32177734	
1208.30004883	4954.20654297	4951.94384766	9906.15039062	
1208.35009766	4950.0546875	5006.97216797	9957.02685547	
1208.40002441	4950.77246094	5098.50537109	10049.277832	
1208.45007324	4961.5703125	5068.66552734	10030.2358398	
1208.5	4897.23876953	5063.7109375	9960.94970703	
1208.55004883	4877.53710938	4993.26025391	9870.79736328	
1208.60009766	4971.57324219	4996.30126953	9967.87451172	
1208.65002441	4915.1015625	4926.46728516	9841.56884766	
1208.70007324	4883.13623047	4949.21630859	9832.35253906	
1208.75	5059.71533203	4967.43164062	10027.1469727	
1208.80004883	5026.06396484	5021.52734375	10047.5913086	
1208.85009766	4955.796875	5021.73046875	9977.52734375	
1208.90002441	5019.00683594	4994.15673828	10013.1635742	
1208.95007324	5053.70068359	5028.23974609	10081.9404297	
1209.0	5090.14355469	4973.484375	10063.6279297	
1209.05004883	4951.50341797	5124.96337891	10076.4667969	
1209.10009766	5003.59765625	5075.09814453	10078.6958008	
1209.15002441	4957.07861328	5095.66894531	10052.7475586	
1209.20007324	4970.1484375	5055.34765625	10025.4960938	
1209.25	4956.70410156	5093.80224609	10050.5063477	
1209.30004883	5040.25292969	5017.84912109	10058.1020508	
1209.35009766	5027.85107422	5120.09082031	10147.9418945	
1209.40002441	4971.99707031	5018.92431641	9990.92138672	
1209.45007324	4898.30957031	5025.70849609	9924.01806641	
1209.5	4985.15576172	4950.10058594	9935.25634766	
1209.55004883	5050.67529297	4984.01611328	10034.6914062	
1209.60009766	4974.73925781	5123.35644531	10098.0957031	
1209.65002441	5057.23144531	5180.33105469	10237.5625	
