Energy	Sweep0	Sweep1	Sum
1882.85021973	1474.2479248	1515.06433105	2989.31225586	
1882.90026855	1470.87854004	1464.11743164	2934.99597168	
1882.95031738	1481.46582031	1481.12768555	2962.59350586	
1883.00024414	1478.81665039	1464.66259766	2943.47924805	
1883.05029297	1465.60876465	1437.20922852	2902.81799316	
1883.10021973	1480.92248535	1421.48730469	2902.40979004	
1883.15026855	1456.40026855	1493.48925781	2949.88952637	
1883.20031738	1417.52319336	1482.22521973	2899.74841309	
1883.25024414	1413.04003906	1458.69946289	2871.73950195	
1883.30029297	1451.1282959	1389.18945312	2840.31774902	
1883.35021973	1485.86193848	1438.33789062	2924.1998291	
1883.40026855	1418.75427246	1467.1171875	2885.87145996	
1883.45031738	1391.02404785	1471.31506348	2862.33911133	
1883.50024414	1398.06616211	1456.32763672	2854.39379883	
1883.55029297	1474.81188965	1480.88244629	2955.69433594	
1883.60021973	1401.26416016	1504.38635254	2905.6505127	
1883.65026855	1407.04089355	1444.00048828	2851.04138184	
1883.70031738	1487.08972168	1507.83325195	2994.92297363	
1883.75024414	1420.57177734	1450.16711426	2870.7388916	
1883.80029297	1395.36132812	1452.54797363	2847.90930176	
1883.85021973	1430.75891113	1479.79052734	2910.54943848	
1883.90026855	1476.91796875	1415.70568848	2892.62365723	
1883.95031738	1473.16931152	1391.30102539	2864.47033691	
1884.00024414	1405.08776855	1412.43835449	2817.52612305	
1884.05029297	1501.32324219	1430.19042969	2931.51367188	
1884.10021973	1419.45898438	1454.60571289	2874.06469727	
1884.15026855	1430.98120117	1438.05725098	2869.03845215	
1884.20031738	1504.06018066	1424.57971191	2928.63989258	
1884.25024414	1589.66821289	1469.74450684	3059.41271973	
1884.30029297	1495.65466309	1463.72692871	2959.3815918	
1884.35021973	1459.82055664	1415.20605469	2875.02661133	
1884.40026855	1417.26147461	1464.06396484	2881.32543945	
1884.45031738	1479.5201416	1517.23706055	2996.75720215	
1884.50024414	1498.48522949	1478.37353516	2976.85876465	
1884.55029297	1383.58068848	1459.14331055	2842.72399902	
1884.60021973	1462.10839844	1404.34924316	2866.4576416	
1884.65026855	1427.92932129	1457.82214355	2885.75146484	
1884.70031738	1481.66723633	1467.48974609	2949.15698242	
1884.75024414	1454.74926758	1419.96850586	2874.71777344	
1884.80029297	1391.26538086	1329.03991699	2720.30529785	
1884.85021973	1446.64575195	1435.6439209	2882.28967285	
1884.90026855	1429.10656738	1470.62194824	2899.72851562	
1884.95031738	1447.7935791	1463.25158691	2911.04516602	
1885.00024414	1457.45080566	1462.63012695	2920.08093262	
1885.05029297	1384.27197266	1423.72570801	2807.99768066	
1885.10021973	1369.85644531	1427.57324219	2797.4296875	
1885.15026855	1393.34338379	1407.96374512	2801.30712891	
1885.20031738	1425.29699707	1398.70214844	2823.99914551	
1885.25024414	1400.29284668	1466.72412109	2867.01696777	
1885.30029297	1418.11486816	1443.36242676	2861.47729492	
1885.35021973	1432.94519043	1448.22790527	2881.1730957	
1885.40026855	1439.60766602	1447.84875488	2887.4564209	
1885.45031738	1437.13598633	1423.46313477	2860.59912109	
1885.50024414	1412.86499023	1434.22253418	2847.08752441	
1885.55029297	1372.77087402	1401.99938965	2774.77026367	
1885.60021973	1415.62976074	1456.8236084	2872.45336914	
1885.65026855	1419.5526123	1479.48901367	2899.04162598	
1885.70031738	1393.18737793	1408.72924805	2801.91662598	
1885.75024414	1438.62512207	1459.42565918	2898.05078125	
1885.80029297	1433.20288086	1474.29370117	2907.49658203	
1885.85021973	1488.70556641	1427.12487793	2915.83044434	
1885.90026855	1389.16931152	1383.69372559	2772.86303711	
1885.95031738	1391.72021484	1474.26281738	2865.98303223	
1885.95031738	1391.72021484	1474.26281738	2865.98303223	
