Energy	Sweep0	
2123.40039062	2406.37451172	
2123.45019531	2349.26049805	
2123.50024414	2326.69506836	
2123.55029297	2357.48876953	
2123.6003418	2313.35888672	
2123.65039062	2284.89672852	
2123.70019531	2372.15673828	
2123.75024414	2434.51586914	
2123.80029297	2439.15429688	
2123.8503418	2412.22387695	
2123.90039062	2431.27490234	
2123.95019531	2462.90649414	
2124.00024414	2382.64306641	
2124.05029297	2469.2644043	
2124.1003418	2438.11523438	
2124.15039062	2560.05908203	
2124.20019531	2547.8203125	
2124.25024414	2627.50708008	
2124.30029297	2539.90209961	
2124.3503418	2630.37207031	
2124.40039062	2615.70947266	
2124.45019531	2636.34277344	
2124.50024414	2668.30566406	
2124.55029297	2650.22216797	
2124.6003418	2740.65893555	
2124.65039062	2740.41552734	
2124.70019531	2765.76147461	
2124.75024414	2752.93261719	
2124.80029297	2841.86303711	
2124.8503418	2872.62426758	
2124.90039062	2939.28442383	
2124.95019531	2893.14794922	
2125.00024414	2866.55712891	
2125.05029297	2814.70727539	
2125.1003418	2846.90258789	
2125.15039062	2963.70361328	
2125.20019531	2918.99829102	
2125.25024414	2897.31518555	
2125.30029297	2917.38818359	
2125.3503418	2920.96020508	
2125.40039062	2842.66870117	
2125.45019531	2765.3984375	
2125.50024414	2767.13867188	
2125.55029297	2801.62475586	
2125.6003418	2762.34741211	
2125.65039062	2735.94335938	
2125.70019531	2693.76342773	
2125.75024414	2621.40966797	
2125.80029297	2650.37866211	
2125.8503418	2607.80078125	
2125.90039062	2565.81005859	
2125.95019531	2490.09106445	
2126.00024414	2453.70483398	
2126.05029297	2410.24829102	
2126.1003418	2413.41796875	
2126.15039062	2408.11157227	
2126.20019531	2264.40429688	
2126.25024414	2218.53857422	
2126.30029297	2234.62207031	
2126.3503418	2159.39086914	
2126.40039062	2192.56103516	
2126.45019531	2199.79882812	
2126.50024414	2115.8059082	
2126.55029297	2153.88500977	
2126.6003418	2132.31079102	
2126.65039062	2103.14746094	
2126.70019531	2040.83007812	
2126.75024414	2081.65234375	
2126.80029297	2027.12744141	
2126.8503418	2050.46582031	
2126.90039062	2091.09008789	
2126.95019531	2064.1484375	
2127.00024414	1983.64746094	
2127.05029297	2027.22705078	
2127.1003418	2069.31958008	
2127.15039062	2022.01904297	
2127.20019531	1972.52722168	
2127.25024414	2003.69274902	
2127.30029297	2049.92016602	
2127.3503418	2001.77758789	
2127.40039062	1948.93505859	
2127.45019531	2022.03283691	
2127.50024414	2014.85461426	
2127.55029297	2057.83227539	
2127.6003418	1970.15783691	
2127.65039062	1994.2166748	
2127.70019531	2010.51623535	
2127.75024414	1976.48852539	
2127.80029297	1970.22595215	
2127.8503418	1976.47839355	
2127.90039062	2042.66992188	
2127.95019531	2022.36865234	
2128.00024414	1960.15576172	
2128.05029297	1957.94873047	
2128.1003418	2055.05249023	
2128.15039062	1963.32043457	
2128.20019531	2014.81750488	
2128.25024414	2101.14404297	
2128.30029297	2074.375	
2128.3503418	2053.18945312	
2128.40039062	2061.35620117	
2128.45019531	2007.70361328	
2128.50024414	2057.25610352	
2128.55029297	2028.61462402	
2128.6003418	2045.91967773	
2128.65039062	2084.24316406	
2128.70019531	2062.75512695	
2128.75024414	2047.85473633	
2128.80029297	2033.4901123	
